"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2016-01-26","0.01","47","32"
"USW00014846","SANDUSKY, OH US","2016-01-27","0.00","32","25"
"USW00014846","SANDUSKY, OH US","2016-01-28","0.00","42","28"
"USW00014846","SANDUSKY, OH US","2016-01-29","0.00","33","25"
"USW00014846","SANDUSKY, OH US","2016-01-30","0.00","56","27"
"USW00014846","SANDUSKY, OH US","2016-01-31","0.07","59","44"
"USW00014846","SANDUSKY, OH US","2016-02-01","0.00","51","31"
"USW00014846","SANDUSKY, OH US","2016-02-02","0.24","53","28"
"USW00014846","SANDUSKY, OH US","2016-02-03","0.14","60","37"
"USW00014846","SANDUSKY, OH US","2016-02-04","0.00","37","26"
"USW00014846","SANDUSKY, OH US","2016-02-05","0.00","40","21"
"USW00014846","SANDUSKY, OH US","2016-02-06","0.00","39","27"
"USW00014846","SANDUSKY, OH US","2016-02-07","0.00","52","31"
"USW00014846","SANDUSKY, OH US","2016-02-08","0.23","46","34"
"USW00014846","SANDUSKY, OH US","2016-02-09","0.01","34","26"
"USW00014846","SANDUSKY, OH US","2016-02-10","0.00","26","17"
"USW00014846","SANDUSKY, OH US","2016-02-11","0.01","22","13"
"USW00014846","SANDUSKY, OH US","2016-02-12","0.00","25","14"
"USW00014846","SANDUSKY, OH US","2016-02-13","0.00","16","9"
"USW00014846","SANDUSKY, OH US","2016-02-14","0.00","19","7"
"USW00014846","SANDUSKY, OH US","2016-02-15","0.01","34","17"
"USW00014846","SANDUSKY, OH US","2016-02-16","0.00","33","30"
"USW00014846","SANDUSKY, OH US","2016-02-17","0.00","34","26"
"USW00014846","SANDUSKY, OH US","2016-02-18","0.00","34","20"
"USW00014846","SANDUSKY, OH US","2016-02-19","0.00","61","34"
"USW00014846","SANDUSKY, OH US","2016-02-20","0.00","69","41"
"USW00014846","SANDUSKY, OH US","2016-02-21","0.00","41","33"
"USW00014846","SANDUSKY, OH US","2016-02-22","0.00","37","31"
"USW00014846","SANDUSKY, OH US","2016-02-23","0.00","37","32"
"USW00014846","SANDUSKY, OH US","2016-02-24","1.63","35","33"
"USW00014846","SANDUSKY, OH US","2016-02-25","0.02","34","28"
"USW00014846","SANDUSKY, OH US","2016-02-26","0.00","32","26"
"USW00014846","SANDUSKY, OH US","2016-02-27","0.00","47","30"
"USW00014846","SANDUSKY, OH US","2016-02-28","0.00","64","43"
"USW00014846","SANDUSKY, OH US","2016-02-29","0.05","56","32"
"USW00014846","SANDUSKY, OH US","2016-03-01","0.50","49","25"
"USW00014846","SANDUSKY, OH US","2016-03-02","0.00","28","22"
"USW00014846","SANDUSKY, OH US","2016-03-03","0.02","34","22"
"USW00014846","SANDUSKY, OH US","2016-03-04","0.12","34","27"
"USW00014846","SANDUSKY, OH US","2016-03-05","0.05","36","29"
"USW00014846","SANDUSKY, OH US","2016-03-06","0.00","40","31"
"USW00014846","SANDUSKY, OH US","2016-03-07","0.00","62","39"
"USW00014846","SANDUSKY, OH US","2016-03-08","0.00","73","52"
"USW00014846","SANDUSKY, OH US","2016-03-09","0.13","69","56"
"USW00014846","SANDUSKY, OH US","2016-03-10","0.60","59","40"
"USW00014846","SANDUSKY, OH US","2016-03-11","0.00","41","34"
"USW00014846","SANDUSKY, OH US","2016-03-12","0.02","51","33"
"USW00014846","SANDUSKY, OH US","2016-03-13","0.41","46","40"
"USW00014846","SANDUSKY, OH US","2016-03-14","0.57","69","42"
"USW00014846","SANDUSKY, OH US","2016-03-15","0.20","57","42"
"USW00014846","SANDUSKY, OH US","2016-03-16","0.03","61","41"
"USW00014846","SANDUSKY, OH US","2016-03-17","0.00","59","43"
"USW00014846","SANDUSKY, OH US","2016-03-18","0.00","49","35"
"USW00014846","SANDUSKY, OH US","2016-03-19","0.00","36","32"
"USW00014846","SANDUSKY, OH US","2016-03-20","0.00","36","31"
"USW00014846","SANDUSKY, OH US","2016-03-21","0.00","44","30"
"USW00014846","SANDUSKY, OH US","2016-03-22","0.00","63","35"
"USW00014846","SANDUSKY, OH US","2016-03-23","0.00","58","39"
"USW00014846","SANDUSKY, OH US","2016-03-24","0.39","70","40"
"USW00014846","SANDUSKY, OH US","2016-03-25","0.01","52","31"
"USW00014846","SANDUSKY, OH US","2016-03-26","0.00","42","30"
"USW00014846","SANDUSKY, OH US","2016-03-27","0.01","64","37"
"USW00014846","SANDUSKY, OH US","2016-03-28","0.46","53","45"
"USW00014846","SANDUSKY, OH US","2016-03-29","0.00","45","37"
"USW00014846","SANDUSKY, OH US","2016-03-30","0.02","66","34"
"USW00014846","SANDUSKY, OH US","2016-03-31","0.32","69","55"
"USW00014846","SANDUSKY, OH US","2016-04-01","0.04","63","44"
"USW00014846","SANDUSKY, OH US","2016-04-02","0.12","44","34"
"USW00014846","SANDUSKY, OH US","2016-04-03","0.00","54","28"
"USW00014846","SANDUSKY, OH US","2016-04-04","0.00","58","28"
"USW00014846","SANDUSKY, OH US","2016-04-05","0.00","35","27"
"USW00014846","SANDUSKY, OH US","2016-04-06","0.47","62","31"
"USW00014846","SANDUSKY, OH US","2016-04-07","0.74","50","35"
"USW00014846","SANDUSKY, OH US","2016-04-08","0.24","41","33"
"USW00014846","SANDUSKY, OH US","2016-04-09","0.22","34","25"
"USW00014846","SANDUSKY, OH US","2016-04-10","0.42","48","23"
"USW00014846","SANDUSKY, OH US","2016-04-11","0.07","58","42"
